participant,condition,total,causals,cperd
1,1,11,28,2.545454545
6,1,8,4,0.5
13,1,12,6,0.5
16,1,15,3,0.2
24,1,26,66,2.538461538
30,1,21,22,1.047619048
31,1,25,9,0.36
38,1,15,13,0.866666667
2,2,22,6,0.272727273
4,2,26,10,0.384615385
14,2,10,3,0.3
17,2,34,31,0.911764706
22,2,15,10,0.666666667
26,2,27,15,0.555555556
37,2,27,12,0.444444444
41,2,32,42,1.3125
5,4,40,23,0.575
7,4,48,3,0.0625
11,4,100,117,1.17
20,4,66,93,1.409090909
25,4,148,263,1.777027027
27,4,46,42,0.913043478
33,4,90,175,1.944444444
40,4,76,232,3.052631579
