participant,condition,total,causals,cperd
1,1,11,28,2.545454545
2,2,22,6,0.272727273
3,3,19,9,0.473684211
4,2,26,10,0.384615385
5,4,40,23,0.575
6,1,8,4,0.5
7,4,48,3,0.0625
8,3,30,11,0.366666667
9,5,29,5,0.172413793
10,5,20,5,0.25
11,4,100,117,1.17
12,5,83,97,1.168674699
13,1,12,6,0.5
14,2,10,3,0.3
15,3,7,1,0.142857143
16,1,15,3,0.2
17,2,34,31,0.911764706
18,3,20,8,0.4
19,5,41,48,1.170731707
20,4,66,93,1.409090909
21,3,13,9,0.692307692
22,2,15,10,0.666666667
23,5,55,71,1.290909091
24,1,26,66,2.538461538
25,4,148,263,1.777027027
26,2,27,15,0.555555556
27,4,46,42,0.913043478
28,3,15,13,0.866666667
29,5,66,81,1.227272727
30,1,21,22,1.047619048
31,1,25,9,0.36
32,5,106,234,2.20754717
33,4,90,175,1.944444444
35,3,14,10,0.714285714
36,5,44,22,0.5
37,2,27,12,0.444444444
38,1,15,13,0.866666667
39,3,4,1,0.25
40,4,76,232,3.052631579
41,2,32,42,1.3125
