6,1,1
15,1,1
16,1,1
22,1,1
4,2,1
21,2,1
35,2,1
8,3,1
3,13,1
3,14,1
17,3,1
18,3,1
3,22,1
24,3,1
26,3,1
3,28,1
30,3,1
37,3,1
41,3,1
4,6,1
8,4,1
4,15,1
17,4,1
18,4,1
26,4,1
30,4,1
37,4,1
38,4,1
4,39,1
41,4,1
5,9,1
5,10,1
20,5,1
5,24,1
13,6,1
21,6,1
35,6,1
7,10,1
7,24,1
25,7,1
7,30,1
7,31,1
32,7,1
33,7,1
8,16,1
21,8,1
31,8,1
11,9,1
12,9,1
9,17,1
9,18,1
9,21,1
23,9,1
29,9,1
9,30,1
9,31,1
33,9,1
40,9,1
12,10,1
10,17,1
10,18,1
10,21,1
23,10,1
27,10,1
29,10,1
10,35,1
36,10,1
10,38,1
11,19,1
11,36,1
12,19,1
12,24,1
13,15,1
13,39,1
21,14,1
38,14,1
21,15,1
35,15,1
24,16,1
16,28,1
37,16,1
16,39,1
41,16,1
19,18,1
19,21,1
19,30,1
19,31,1
32,19,1
33,19,1
40,19,1
25,20,1
32,20,1
33,20,1
21,22,1
21,28,1
35,22,1
38,22,1
22,39,1
23,24,1
25,23,1
32,23,1
27,24,1
29,24,1
24,35,1
36,24,1
24,38,1
25,29,1
25,36,1
25,40,1
29,26,1
31,26,1
26,35,1
27,30,1
27,31,1
32,27,1
33,27,1
40,27,1
38,28,1
36,30,1
36,31,1
31,37,1
31,38,1
31,41,1
32,36,1
33,36,1
